"id","baseline","webview_all","webview_android","webview_ios","webview_android_unsupported_compat_features","webview_ios_unsupported_compat_features"
"ambient-light","0 - limited",FALSE,"unsupported","unsupported","api.AmbientLightSensor, api.AmbientLightSensor.AmbientLightSensor, api.AmbientLightSensor.illuminance, api.Permissions.permission_ambient-light-sensor, html.elements.iframe.allow.ambient-light-sensor, http.headers.Permissions-Policy.ambient-light-sensor","api.AmbientLightSensor, api.AmbientLightSensor.AmbientLightSensor, api.AmbientLightSensor.illuminance, api.Permissions.permission_ambient-light-sensor, html.elements.iframe.allow.ambient-light-sensor, http.headers.Permissions-Policy.ambient-light-sensor"
"anchor-positioning","0 - limited",FALSE,"supported","partial","","api.HTMLButtonElement.popoverTargetElement.implicit_anchor_reference, api.HTMLElement.showPopover.options_source_parameter.implicit_anchor_reference, api.HTMLElement.togglePopover.options_source_parameter.implicit_anchor_reference, api.HTMLInputElement.popoverTargetElement.implicit_anchor_reference, css.at-rules.position-try, css.properties.align-items.anchor-center, css.properties.align-self.anchor-center, css.properties.anchor-name, css.properties.anchor-name.none, css.properties.anchor-scope, css.properties.anchor-scope.all, css.properties.anchor-scope.none, css.properties.block-size.anchor-size, css.properties.bottom.anchor, css.properties.bottom.anchor-size, css.properties.height.anchor-size, css.properties.inline-size.anchor-size, css.properties.inset-block-end.anchor, css.properties.inset-block-end.anchor-size, css.properties.inset-block-start.anchor, css.properties.inset-block-start.anchor-size, css.properties.inset-block.anchor, css.properties.inset-block.anchor-size, css.properties.inset-inline-end.anchor, css.properties.inset-inline-end.anchor-size, css.properties.inset-inline-start.anchor, css.properties.inset-inline-start.anchor-size, css.properties.inset-inline.anchor, css.properties.inset-inline.anchor-size, css.properties.inset.anchor, css.properties.inset.anchor-size, css.properties.justify-items.anchor-center, css.properties.justify-self.anchor-center, css.properties.left.anchor, css.properties.left.anchor-size, css.properties.margin-block-end.anchor-size, css.properties.margin-block-start.anchor-size, css.properties.margin-block.anchor-size, css.properties.margin-bottom.anchor-size, css.properties.margin-inline-end.anchor-size, css.properties.margin-inline-start.anchor-size, css.properties.margin-inline.anchor-size, css.properties.margin-left.anchor-size, css.properties.margin-right.anchor-size, css.properties.margin-top.anchor-size, css.properties.margin.anchor-size, css.properties.max-block-size.anchor-size, css.properties.max-height.anchor-size, css.properties.max-inline-size.anchor-size, css.properties.max-width.anchor-size, css.properties.min-block-size.anchor-size, css.properties.min-height.anchor-size, css.properties.min-inline-size.anchor-size, css.properties.min-width.anchor-size, css.properties.place-items.anchor-center, css.properties.place-self.anchor-center, css.properties.position-anchor, css.properties.position-anchor.auto, css.properties.position-area, css.properties.position-area.block-end, css.properties.position-area.block-start, css.properties.position-area.bottom, css.properties.position-area.center, css.properties.position-area.end, css.properties.position-area.inline-end, css.properties.position-area.inline-start, css.properties.position-area.left, css.properties.position-area.none, css.properties.position-area.right, css.properties.position-area.self-block-end, css.properties.position-area.self-block-start, css.properties.position-area.self-end, css.properties.position-area.self-inline-end, css.properties.position-area.self-inline-start, css.properties.position-area.self-start, css.properties.position-area.span-all, css.properties.position-area.span-block-end, css.properties.position-area.span-block-start, css.properties.position-area.span-bottom, css.properties.position-area.span-end, css.properties.position-area.span-inline-end, css.properties.position-area.span-inline-start, css.properties.position-area.span-self-block-end, css.properties.position-area.span-self-block-start, css.properties.position-area.span-self-end, css.properties.position-area.span-self-inline-end, css.properties.position-area.span-self-inline-start, css.properties.position-area.span-self-start, css.properties.position-area.span-start, css.properties.position-area.span-top, css.properties.position-area.span-x-end, css.properties.position-area.span-x-self-end, css.properties.position-area.span-x-self-start, css.properties.position-area.span-x-start, css.properties.position-area.span-y-end, css.properties.position-area.span-y-self-end, css.properties.position-area.span-y-self-start, css.properties.position-area.span-y-start, css.properties.position-area.start, css.properties.position-area.top, css.properties.position-area.x-end, css.properties.position-area.x-self-end, css.properties.position-area.x-self-start, css.properties.position-area.x-start, css.properties.position-area.y-end, css.properties.position-area.y-self-end, css.properties.position-area.y-self-start, css.properties.position-area.y-start, css.properties.position-try, css.properties.position-try-fallbacks, css.properties.position-try-fallbacks.flip-block, css.properties.position-try-fallbacks.flip-inline, css.properties.position-try-fallbacks.flip-start, css.properties.position-try-fallbacks.none, css.properties.position-try-fallbacks.position-area, css.properties.position-try-order, css.properties.position-try-order.most-block-size, css.properties.position-try-order.most-height, css.properties.position-try-order.most-inline-size, css.properties.position-try-order.most-width, css.properties.position-try-order.normal, css.properties.position-visibility, css.properties.position-visibility.always, css.properties.position-visibility.anchors-visible, css.properties.position-visibility.no-overflow, css.properties.right.anchor, css.properties.right.anchor-size, css.properties.top.anchor, css.properties.top.anchor-size, css.properties.width.anchor-size, css.types.anchor, css.types.anchor-size, css.types.anchor-size.inset_margin, html.elements.button.popovertarget.implicit_anchor_reference, html.elements.input.popovertarget.implicit_anchor_reference"
"angle-instanced-arrays","2 - widely",TRUE,"supported","supported","",""
"animation-composition","1 - newly",TRUE,"supported","supported","",""
"animations-css","2 - widely",TRUE,"supported","supported","",""
"app-file-handlers","0 - limited",FALSE,"unsupported","unsupported","api.LaunchParams.files, manifests.webapp.file_handlers","api.LaunchParams.files, manifests.webapp.file_handlers"
"app-launch-handler","0 - limited",FALSE,"unsupported","unsupported","api.LaunchParams, api.LaunchParams.targetURL, api.LaunchQueue, api.LaunchQueue.setConsumer, api.Window.launchQueue, manifests.webapp.launch_handler, manifests.webapp.launch_handler.client_mode","api.LaunchParams, api.LaunchParams.targetURL, api.LaunchQueue, api.LaunchQueue.setConsumer, api.Window.launchQueue, manifests.webapp.launch_handler, manifests.webapp.launch_handler.client_mode"
"app-protocol-handlers","0 - limited",FALSE,"unsupported","unsupported","manifests.webapp.protocol_handlers, manifests.webapp.protocol_handlers.protocol, manifests.webapp.protocol_handlers.url","manifests.webapp.protocol_handlers, manifests.webapp.protocol_handlers.protocol, manifests.webapp.protocol_handlers.url"
"app-share-targets","0 - limited",FALSE,"unsupported","unsupported","manifests.webapp.share_target","manifests.webapp.share_target"
"app-shortcuts","0 - limited",FALSE,"supported","unsupported","","manifests.webapp.shortcuts"
"appearance","2 - widely",TRUE,"supported","supported","",""
"arguments-callee","0 - limited",TRUE,"supported","supported","",""
"aria-attribute-reflection","1 - newly",FALSE,"partial","partial","api.Element.ariaOwnsElements, api.Element.ariaPlaceholder, api.Element.ariaPosInSet, api.Element.ariaPressed, api.Element.ariaReadOnly, api.Element.ariaRelevant, api.Element.ariaRequired, api.Element.ariaRoleDescription, api.Element.ariaRowCount, api.Element.ariaRowIndex, api.Element.ariaRowIndexText, api.Element.ariaRowSpan, api.Element.ariaSelected, api.Element.ariaSetSize, api.Element.ariaSort, api.Element.ariaValueMax, api.Element.ariaValueMin, api.Element.ariaValueNow, api.Element.ariaValueText, api.Element.role, api.ElementInternals.ariaActiveDescendantElement, api.ElementInternals.ariaAtomic, api.ElementInternals.ariaAutoComplete, api.ElementInternals.ariaBrailleLabel, api.ElementInternals.ariaBrailleRoleDescription, api.ElementInternals.ariaBusy, api.ElementInternals.ariaChecked, api.ElementInternals.ariaColCount, api.ElementInternals.ariaColIndex, api.ElementInternals.ariaColIndexText, api.ElementInternals.ariaColSpan, api.ElementInternals.ariaControlsElements, api.ElementInternals.ariaCurrent, api.ElementInternals.ariaDescribedByElements, api.ElementInternals.ariaDescription, api.ElementInternals.ariaDetailsElements, api.ElementInternals.ariaDisabled, api.ElementInternals.ariaErrorMessageElements, api.ElementInternals.ariaExpanded, api.ElementInternals.ariaFlowToElements, api.ElementInternals.ariaHasPopup, api.ElementInternals.ariaHidden, api.ElementInternals.ariaInvalid, api.ElementInternals.ariaKeyShortcuts, api.ElementInternals.ariaLabel, api.ElementInternals.ariaLabelledByElements, api.ElementInternals.ariaLevel, api.ElementInternals.ariaLive, api.ElementInternals.ariaModal, api.ElementInternals.ariaMultiLine, api.ElementInternals.ariaMultiSelectable, api.ElementInternals.ariaOrientation, api.ElementInternals.ariaOwnsElements, api.ElementInternals.ariaPlaceholder, api.ElementInternals.ariaPosInSet, api.ElementInternals.ariaPressed, api.ElementInternals.ariaReadOnly, api.ElementInternals.ariaRequired, api.ElementInternals.ariaRoleDescription, api.ElementInternals.ariaRowCount, api.ElementInternals.ariaRowIndex, api.ElementInternals.ariaRowIndexText, api.ElementInternals.ariaRowSpan, api.ElementInternals.ariaSelected, api.ElementInternals.ariaSetSize, api.ElementInternals.ariaSort, api.ElementInternals.ariaValueMax, api.ElementInternals.ariaValueMin, api.ElementInternals.ariaValueNow, api.ElementInternals.ariaValueText, api.ElementInternals.role","api.Element.ariaColIndexText, api.Element.ariaColSpan, api.Element.ariaControlsElements, api.Element.ariaCurrent, api.Element.ariaDescribedByElements, api.Element.ariaDescription, api.Element.ariaDetailsElements, api.Element.ariaDisabled, api.Element.ariaErrorMessageElements, api.Element.ariaExpanded, api.Element.ariaFlowToElements, api.Element.ariaHasPopup, api.Element.ariaHidden, api.Element.ariaInvalid, api.Element.ariaKeyShortcuts, api.Element.ariaLabel, api.Element.ariaLabelledByElements, api.Element.ariaLevel, api.Element.ariaLive, api.Element.ariaModal, api.Element.ariaMultiLine, api.Element.ariaMultiSelectable, api.Element.ariaOrientation, api.Element.ariaOwnsElements, api.Element.ariaPlaceholder, api.Element.ariaPosInSet, api.Element.ariaPressed, api.Element.ariaReadOnly, api.Element.ariaRelevant, api.Element.ariaRequired, api.Element.ariaRoleDescription, api.Element.ariaRowCount, api.Element.ariaRowIndex, api.Element.ariaRowIndexText, api.Element.ariaRowSpan, api.Element.ariaSelected, api.Element.ariaSetSize, api.Element.ariaSort, api.Element.ariaValueMax, api.Element.ariaValueMin, api.Element.ariaValueNow, api.Element.ariaValueText, api.Element.role, api.ElementInternals.ariaActiveDescendantElement, api.ElementInternals.ariaAtomic, api.ElementInternals.ariaAutoComplete, api.ElementInternals.ariaBrailleLabel, api.ElementInternals.ariaBrailleRoleDescription, api.ElementInternals.ariaBusy, api.ElementInternals.ariaChecked, api.ElementInternals.ariaColCount, api.ElementInternals.ariaColIndex, api.ElementInternals.ariaColIndexText, api.ElementInternals.ariaColSpan, api.ElementInternals.ariaControlsElements, api.ElementInternals.ariaCurrent, api.ElementInternals.ariaDescribedByElements, api.ElementInternals.ariaDescription, api.ElementInternals.ariaDetailsElements, api.ElementInternals.ariaDisabled, api.ElementInternals.ariaErrorMessageElements, api.ElementInternals.ariaExpanded, api.ElementInternals.ariaFlowToElements, api.ElementInternals.ariaHasPopup, api.ElementInternals.ariaHidden, api.ElementInternals.ariaInvalid, api.ElementInternals.ariaKeyShortcuts, api.ElementInternals.ariaLabel, api.ElementInternals.ariaLabelledByElements, api.ElementInternals.ariaLevel, api.ElementInternals.ariaLive, api.ElementInternals.ariaModal, api.ElementInternals.ariaMultiLine, api.ElementInternals.ariaMultiSelectable, api.ElementInternals.ariaOrientation, api.ElementInternals.ariaOwnsElements, api.ElementInternals.ariaPlaceholder, api.ElementInternals.ariaPosInSet, api.ElementInternals.ariaPressed, api.ElementInternals.ariaReadOnly, api.ElementInternals.ariaRequired, api.ElementInternals.ariaRoleDescription, api.ElementInternals.ariaRowCount, api.ElementInternals.ariaRowIndex, api.ElementInternals.ariaRowIndexText, api.ElementInternals.ariaRowSpan, api.ElementInternals.ariaSelected, api.ElementInternals.ariaSetSize, api.ElementInternals.ariaSort, api.ElementInternals.ariaValueMax, api.ElementInternals.ariaValueMin, api.ElementInternals.ariaValueNow, api.ElementInternals.ariaValueText, api.ElementInternals.role"
"arianotify","0 - limited",FALSE,"supported","unsupported","","api.Document.ariaNotify, api.Element.ariaNotify"
"array","2 - widely",TRUE,"supported","supported","",""
"array-at","2 - widely",TRUE,"supported","supported","",""
"array-by-copy","1 - newly",TRUE,"supported","supported","",""
"array-copywithin","2 - widely",TRUE,"supported","supported","",""
"array-fill","2 - widely",TRUE,"supported","supported","",""
"array-find","2 - widely",TRUE,"supported","supported","",""
"array-findlast","2 - widely",TRUE,"supported","supported","",""
"array-flat","2 - widely",TRUE,"supported","supported","",""
"array-from","2 - widely",TRUE,"supported","supported","",""
"array-fromasync","1 - newly",TRUE,"supported","supported","",""
"array-group","1 - newly",TRUE,"supported","supported","",""
"array-includes","2 - widely",TRUE,"supported","supported","",""
"array-isarray","2 - widely",TRUE,"supported","supported","",""
"array-iteration-methods","2 - widely",TRUE,"supported","supported","",""
"array-iterators","2 - widely",TRUE,"supported","supported","",""
"array-of","2 - widely",TRUE,"supported","supported","",""
"array-splice","2 - widely",TRUE,"supported","supported","",""
"article","2 - widely",TRUE,"supported","supported","",""
"aside","2 - widely",TRUE,"supported","supported","",""
"aspect-ratio","2 - widely",TRUE,"supported","supported","",""
"async-await","2 - widely",TRUE,"supported","supported","",""
"async-clipboard","1 - newly",FALSE,"partial","partial","api.ClipboardItem.presentationStyle, api.ClipboardItem.types, api.Navigator.clipboard, api.Permissions.permission_clipboard-write","api.Permissions.permission_clipboard-write"
"async-generators","2 - widely",TRUE,"supported","supported","",""
"async-iterable-streams","0 - limited",FALSE,"supported","unsupported","","api.ReadableStream.@@asyncIterator, api.ReadableStream.values"
"async-iterators","2 - widely",TRUE,"supported","supported","",""
"atomics-pause","1 - newly",TRUE,"supported","supported","",""
"atomics-wait-async","0 - limited",TRUE,"supported","supported","",""
"attr","0 - limited",FALSE,"partial","partial","css.types.attr.type-or-unit.angle, css.types.attr.type-or-unit.color, css.types.attr.type-or-unit.frequency, css.types.attr.type-or-unit.integer, css.types.attr.type-or-unit.length, css.types.attr.type-or-unit.number, css.types.attr.type-or-unit.percentage, css.types.attr.type-or-unit.time, css.types.attr.type-or-unit.url","css.types.attr.type-or-unit, css.types.attr.type-or-unit.angle, css.types.attr.type-or-unit.color, css.types.attr.type-or-unit.frequency, css.types.attr.type-or-unit.integer, css.types.attr.type-or-unit.length, css.types.attr.type-or-unit.number, css.types.attr.type-or-unit.percentage, css.types.attr.type-or-unit.time, css.types.attr.type-or-unit.url"
"attr-contents","2 - widely",TRUE,"supported","supported","",""
"attribution-reporting","0 - limited",FALSE,"supported","unsupported","","api.HTMLAnchorElement.attributionSrc, api.HTMLAreaElement.attributionSrc, api.HTMLImageElement.attributionSrc, api.HTMLScriptElement.attributionSrc, api.Request.Request.init_attributionReporting_parameter, api.Window.open.features_parameter_attributionsrc, api.XMLHttpRequest.setAttributionReporting, api.fetch.init_attributionReporting_parameter, html.elements.a.attributionsrc, html.elements.area.attributionsrc, html.elements.iframe.allow.attribution-reporting, html.elements.img.attributionsrc, html.elements.script.attributionsrc, http.headers.Attribution-Reporting-Eligible, http.headers.Attribution-Reporting-Register-Source, http.headers.Attribution-Reporting-Register-Trigger, http.headers.Attribution-Reporting-Support, http.headers.Permissions-Policy.attribution-reporting"
"audio","2 - widely",TRUE,"supported","supported","",""
"audio-session","0 - limited",FALSE,"unsupported","supported","api.AudioSession, api.AudioSession.type, api.Navigator.audioSession",""
"audio-video-tracks","0 - limited",FALSE,"unsupported","supported","api.AudioTrack, api.AudioTrack.enabled, api.AudioTrack.id, api.AudioTrack.kind, api.AudioTrack.label, api.AudioTrack.language, api.AudioTrackList, api.AudioTrackList.addtrack_event, api.AudioTrackList.change_event, api.AudioTrackList.getTrackById, api.AudioTrackList.length, api.AudioTrackList.removetrack_event, api.HTMLMediaElement.audioTracks, api.HTMLMediaElement.videoTracks, api.VideoTrack, api.VideoTrack.id, api.VideoTrack.kind, api.VideoTrack.label, api.VideoTrack.language, api.VideoTrack.selected, api.VideoTrackList, api.VideoTrackList.addtrack_event, api.VideoTrackList.change_event, api.VideoTrackList.getTrackById, api.VideoTrackList.length, api.VideoTrackList.removetrack_event, api.VideoTrackList.selectedIndex",""
"audio-worklet","2 - widely",FALSE,"partial","partial","api.AudioWorkletGlobalScope.port, api.AudioWorkletGlobalScope.registerProcessor, api.AudioWorkletGlobalScope.sampleRate, api.AudioWorkletNode, api.AudioWorkletNode.AudioWorkletNode, api.AudioWorkletNode.parameters, api.AudioWorkletNode.port, api.AudioWorkletNode.processorerror_event, api.AudioWorkletProcessor, api.AudioWorkletProcessor.AudioWorkletProcessor, api.AudioWorkletProcessor.port, api.BaseAudioContext.audioWorklet, api.Worklet, api.Worklet.addModule, api.WorkletGlobalScope","api.AudioWorkletGlobalScope.port, api.AudioWorkletGlobalScope.registerProcessor, api.AudioWorkletGlobalScope.sampleRate, api.AudioWorkletNode, api.AudioWorkletNode.AudioWorkletNode, api.AudioWorkletNode.parameters, api.AudioWorkletNode.port, api.AudioWorkletNode.processorerror_event, api.AudioWorkletProcessor, api.AudioWorkletProcessor.AudioWorkletProcessor, api.AudioWorkletProcessor.port, api.BaseAudioContext.audioWorklet, api.Worklet, api.Worklet.addModule, api.WorkletGlobalScope"
"autocapitalize","0 - limited",TRUE,"supported","supported","",""
"autocorrect","0 - limited",FALSE,"unsupported","supported","api.HTMLElement.autocorrect, html.global_attributes.autocorrect",""
"autofill","1 - newly",TRUE,"supported","supported","",""
"autofocus","2 - widely",TRUE,"supported","supported","",""
"autonomous-custom-elements","2 - widely",FALSE,"supported","partial","","api.CustomElementRegistry.define.disabledFeatures_static_property, api.CustomElementRegistry.get, api.CustomElementRegistry.getName, api.CustomElementRegistry.upgrade, api.CustomElementRegistry.whenDefined, api.Window.customElements, css.selectors.defined"
"avif","1 - newly",TRUE,"supported","supported","",""
"b","2 - widely",TRUE,"supported","supported","",""
"backdrop","2 - widely",TRUE,"supported","supported","",""
"backdrop-filter","1 - newly",TRUE,"supported","supported","",""
"background","2 - widely",TRUE,"supported","supported","",""
"background-attachment","2 - widely",TRUE,"supported","supported","",""
"background-blend-mode","2 - widely",TRUE,"supported","supported","",""
"background-clip","2 - widely",TRUE,"supported","supported","",""
"background-clip-border-area","0 - limited",FALSE,"unsupported","supported","css.properties.background-clip.border-area",""
"background-clip-text","0 - limited",TRUE,"supported","supported","",""
"background-color","2 - widely",TRUE,"supported","supported","",""
"background-fetch","0 - limited",FALSE,"unsupported","unsupported","api.BackgroundFetchEvent, api.BackgroundFetchEvent.BackgroundFetchEvent, api.BackgroundFetchEvent.registration, api.BackgroundFetchManager, api.BackgroundFetchManager.fetch, api.BackgroundFetchManager.get, api.BackgroundFetchManager.getIds, api.BackgroundFetchRecord, api.BackgroundFetchRecord.request, api.BackgroundFetchRecord.responseReady, api.BackgroundFetchRegistration, api.BackgroundFetchRegistration.abort, api.BackgroundFetchRegistration.downloadTotal, api.BackgroundFetchRegistration.downloaded, api.BackgroundFetchRegistration.failureReason, api.BackgroundFetchRegistration.id, api.BackgroundFetchRegistration.match, api.BackgroundFetchRegistration.matchAll, api.BackgroundFetchRegistration.progress_event, api.BackgroundFetchRegistration.recordsAvailable, api.BackgroundFetchRegistration.result, api.BackgroundFetchRegistration.uploadTotal, api.BackgroundFetchRegistration.uploaded, api.BackgroundFetchUpdateUIEvent, api.BackgroundFetchUpdateUIEvent.BackgroundFetchUpdateUIEvent, api.BackgroundFetchUpdateUIEvent.updateUI, api.ServiceWorkerGlobalScope.backgroundfetchabort_event, api.ServiceWorkerGlobalScope.backgroundfetchclick_event, api.ServiceWorkerGlobalScope.backgroundfetchfail_event, api.ServiceWorkerGlobalScope.backgroundfetchsuccess_event, api.ServiceWorkerRegistration.backgroundFetch","api.BackgroundFetchEvent, api.BackgroundFetchEvent.BackgroundFetchEvent, api.BackgroundFetchEvent.registration, api.BackgroundFetchManager, api.BackgroundFetchManager.fetch, api.BackgroundFetchManager.get, api.BackgroundFetchManager.getIds, api.BackgroundFetchRecord, api.BackgroundFetchRecord.request, api.BackgroundFetchRecord.responseReady, api.BackgroundFetchRegistration, api.BackgroundFetchRegistration.abort, api.BackgroundFetchRegistration.downloadTotal, api.BackgroundFetchRegistration.downloaded, api.BackgroundFetchRegistration.failureReason, api.BackgroundFetchRegistration.id, api.BackgroundFetchRegistration.match, api.BackgroundFetchRegistration.matchAll, api.BackgroundFetchRegistration.progress_event, api.BackgroundFetchRegistration.recordsAvailable, api.BackgroundFetchRegistration.result, api.BackgroundFetchRegistration.uploadTotal, api.BackgroundFetchRegistration.uploaded, api.BackgroundFetchUpdateUIEvent, api.BackgroundFetchUpdateUIEvent.BackgroundFetchUpdateUIEvent, api.BackgroundFetchUpdateUIEvent.updateUI, api.ServiceWorkerGlobalScope.backgroundfetchabort_event, api.ServiceWorkerGlobalScope.backgroundfetchclick_event, api.ServiceWorkerGlobalScope.backgroundfetchfail_event, api.ServiceWorkerGlobalScope.backgroundfetchsuccess_event, api.ServiceWorkerRegistration.backgroundFetch"
"background-image","2 - widely",TRUE,"supported","supported","",""
"background-origin","2 - widely",TRUE,"supported","supported","",""
"background-position","2 - widely",FALSE,"partial","supported","css.properties.background-position-x.side-relative_values, css.properties.background-position-y, css.properties.background-position-y.side-relative_values, css.properties.background-position.bottom, css.properties.background-position.center, css.properties.background-position.left, css.properties.background-position.multiple_backgrounds, css.properties.background-position.right, css.properties.background-position.side-relative_values, css.properties.background-position.top",""
"background-repeat","2 - widely",TRUE,"supported","supported","",""
"background-size","2 - widely",TRUE,"supported","supported","",""
"background-sync","0 - limited",FALSE,"unsupported","unsupported","api.Permissions.permission_background-sync, api.ServiceWorkerGlobalScope.sync_event, api.ServiceWorkerRegistration.sync, api.SyncEvent, api.SyncEvent.SyncEvent, api.SyncEvent.lastChance, api.SyncEvent.tag, api.SyncManager, api.SyncManager.getTags, api.SyncManager.register, api.SyncManager.worker_support","api.Permissions.permission_background-sync, api.ServiceWorkerGlobalScope.sync_event, api.ServiceWorkerRegistration.sync, api.SyncEvent, api.SyncEvent.SyncEvent, api.SyncEvent.lastChance, api.SyncEvent.tag, api.SyncManager, api.SyncManager.getTags, api.SyncManager.register, api.SyncManager.worker_support"
"badging","0 - limited",FALSE,"partial","unsupported","api.Navigator.setAppBadge","api.Navigator.clearAppBadge, api.Navigator.setAppBadge"
"barcode","0 - limited",FALSE,"supported","unsupported","","api.BarcodeDetector, api.BarcodeDetector.BarcodeDetector, api.BarcodeDetector.detect, api.BarcodeDetector.getSupportedFormats_static"
"barprop","2 - widely",FALSE,"supported","partial","","api.BarProp.visible.returns_popup, api.Window.locationbar, api.Window.menubar, api.Window.personalbar, api.Window.scrollbars, api.Window.statusbar, api.Window.toolbar"
"base","2 - widely",TRUE,"supported","supported","",""
"base64encodedecode","2 - widely",TRUE,"supported","supported","",""
"baseline-shift","0 - limited",TRUE,"supported","supported","",""
"baseline-source","0 - limited",FALSE,"supported","unsupported","","css.properties.baseline-source, css.properties.baseline-source.auto, css.properties.baseline-source.first, css.properties.baseline-source.last"
"battery","0 - limited",FALSE,"supported","unsupported","","api.BatteryManager, api.BatteryManager.charging, api.BatteryManager.chargingTime, api.BatteryManager.chargingchange_event, api.BatteryManager.chargingtimechange_event, api.BatteryManager.dischargingTime, api.BatteryManager.dischargingtimechange_event, api.BatteryManager.level, api.BatteryManager.levelchange_event, api.BatteryManager.secure_context_required, api.Navigator.getBattery, api.Navigator.getBattery.secure_context_required"
"bdi","2 - widely",TRUE,"supported","supported","",""
"bdo","2 - widely",TRUE,"supported","supported","",""
"beacons","2 - widely",TRUE,"supported","supported","",""
"before-after","2 - widely",TRUE,"supported","supported","",""
"beforeinstallprompt","0 - limited",FALSE,"supported","unsupported","","api.BeforeInstallPromptEvent, api.BeforeInstallPromptEvent.BeforeInstallPromptEvent, api.BeforeInstallPromptEvent.platforms, api.BeforeInstallPromptEvent.prompt, api.BeforeInstallPromptEvent.userChoice, api.Window.appinstalled_event, api.Window.beforeinstallprompt_event"
"beforeunload","0 - limited",FALSE,"supported","partial","","api.Window.beforeunload_event, api.Window.beforeunload_event.preventdefault_activation"
"bfcache-blocking-reasons","0 - limited",FALSE,"supported","unsupported","","api.NotRestoredReasonDetails, api.NotRestoredReasonDetails.reason, api.NotRestoredReasonDetails.toJSON, api.NotRestoredReasons, api.NotRestoredReasons.children, api.NotRestoredReasons.id, api.NotRestoredReasons.name, api.NotRestoredReasons.reasons, api.NotRestoredReasons.src, api.NotRestoredReasons.toJSON, api.NotRestoredReasons.url, api.PerformanceNavigationTiming.notRestoredReasons"
"bigint","2 - widely",TRUE,"supported","supported","",""
"bigint64array","2 - widely",TRUE,"supported","supported","",""
"blocking-render","0 - limited",TRUE,"supported","supported","",""
"blockquote","2 - widely",TRUE,"supported","supported","",""
"body","2 - widely",TRUE,"supported","supported","",""
"border-image","2 - widely",TRUE,"supported","supported","",""
"border-radius","2 - widely",TRUE,"supported","supported","",""
"borders","2 - widely",TRUE,"supported","supported","",""
"box-decoration-break","0 - limited",FALSE,"supported","partial","","css.properties.box-decoration-break.clone, css.properties.box-decoration-break.slice"
"box-shadow","2 - widely",TRUE,"supported","supported","",""
"box-sizing","2 - widely",TRUE,"supported","supported","",""
"br","2 - widely",TRUE,"supported","supported","",""
"broadcast-channel","2 - widely",TRUE,"supported","supported","",""
"brotli","2 - widely",TRUE,"supported","supported","",""
"button","2 - widely",TRUE,"supported","supported","",""
"calc","2 - widely",TRUE,"supported","supported","",""
"calc-constants","1 - newly",TRUE,"supported","supported","",""
"calc-size","0 - limited",FALSE,"supported","unsupported","","css.types.calc-size"
"canvas","2 - widely",TRUE,"supported","supported","",""
